date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,ts_code,daily_return
2018-03-20,58.73878501235607,59.2371748923097,58.661396489655644,59.045249938964844,760800,0.0,0.0,0.0,SOXX,SOXX,0.007340896957813703
2018-03-21,58.97713759005002,59.918191801306655,58.90284178553984,59.156681060791016,1380300,0.0,0.0,0.0,SOXX,SOXX,0.0018872156852813848
2018-03-22,58.24324259914248,58.84806697647131,57.54846819718886,57.59809494018555,1752000,0.125,0.0,0.0,SOXX,SOXX,-0.026346747191645536
2018-03-23,57.4957433342088,57.59809916469383,55.659550159071934,55.6812629699707,3847500,0.0,0.0,0.0,SOXX,SOXX,-0.033279433498719646
2018-03-26,56.98705608084525,58.019914108976074,56.261265487924895,58.0044059753418,2399700,0.0,0.0,0.0,SOXX,SOXX,0.04172216795125472
2018-03-27,58.451054772486145,58.615443141707196,55.39590587546661,55.870460510253906,3221700,0.0,0.0,0.0,SOXX,SOXX,-0.036789368483405416
2018-03-28,55.485848557382305,55.9945217335048,54.41887191764878,54.66080093383789,2980200,0.0,0.0,0.0,SOXX,SOXX,-0.02165114741078622
2018-03-29,55.02989770899501,56.37602422753162,54.629781492341785,55.845638275146484,2504100,0.0,0.0,0.0,SOXX,SOXX,0.021676179658302708
2018-04-02,55.35868231102118,55.76810559575276,53.18130678173323,53.711692810058594,2379600,0.0,0.0,0.0,SOXX,SOXX,-0.03821149745973229
2018-04-03,54.381651072583935,54.8779184525003,53.792334890027355,54.72903823852539,1673400,0.0,0.0,0.0,SOXX,SOXX,0.018940855803306178
2018-04-04,53.15339683546454,55.57890625731741,53.13788869923583,55.433128356933594,2024700,0.0,0.0,0.0,SOXX,SOXX,0.012865019029560942
2018-04-05,55.78051082039176,55.85185037071024,54.50882601017437,54.865516662597656,1725000,0.0,0.0,0.0,SOXX,SOXX,-0.01023957534348574
2018-04-06,54.114905110014035,54.707323609513075,52.96728550108204,53.20611572265625,1179900,0.0,0.0,0.0,SOXX,SOXX,-0.030244879495915478
2018-04-09,53.83265914214646,55.088839380865494,53.510087092883744,53.54110336303711,1113000,0.0,0.0,0.0,SOXX,SOXX,0.006296036382866799
2018-04-10,54.7693618335701,55.57579544321281,54.42197466561493,55.25322341918945,1904100,0.0,0.0,0.0,SOXX,SOXX,0.03197767600236512
2018-04-11,54.94615995483579,55.76190063356642,54.84690647109612,55.27493667602539,1226400,0.0,0.0,0.0,SOXX,SOXX,0.00039297719648323515
2018-04-12,55.7153711883736,56.46907925897961,55.6657444509932,56.31709671020508,1911300,0.0,0.0,0.0,SOXX,SOXX,0.0188541153884616
2018-04-13,56.97465178300783,57.073905260712564,55.69986470688863,55.90147399902344,1289400,0.0,0.0,0.0,SOXX,SOXX,-0.0073800450566609
2018-04-16,56.2333580026365,56.30159521828224,55.53548126035199,56.000732421875,849300,0.0,0.0,0.0,SOXX,SOXX,0.0017755958072465106
2018-04-17,56.444274410716034,57.19488028159634,56.32951278144078,57.06150817871094,1097700,0.0,0.0,0.0,SOXX,SOXX,0.018942176485205797
2018-04-18,56.69549997977103,56.82266738470601,55.99762332177245,56.50009536743164,1453500,0.0,0.0,0.0,SOXX,SOXX,-0.009838730682003805
2018-04-19,55.41450535719505,55.476537888087556,53.86676957425552,54.055973052978516,5532900,0.0,0.0,0.0,SOXX,SOXX,-0.043258729008482155
2018-04-20,54.04356714912816,54.31961475071749,53.18129864335229,53.41702651977539,3552000,0.0,0.0,0.0,SOXX,SOXX,-0.011820091233524121
2018-04-23,53.61865237927755,53.739618691360754,52.57338829433668,52.70676040649414,2047200,0.0,0.0,0.0,SOXX,SOXX,-0.013296623933537477
2018-04-24,53.16579651666065,53.652760457210135,51.81966985931725,52.281822204589844,3480900,0.0,0.0,0.0,SOXX,SOXX,-0.008062309248889843
2018-04-25,52.51444284699283,52.59198351194332,51.3916348507556,52.21668243408203,4432800,0.0,0.0,0.0,SOXX,SOXX,-0.0012459353511610205
2018-04-26,53.041735657060066,53.33639378450418,52.70675424710541,53.28366470336914,4609200,0.0,0.0,0.0,SOXX,SOXX,0.02043374300223033
2018-04-27,53.95982318654125,54.01565104582109,52.64781524970307,52.91145706176758,3309000,0.0,0.0,0.0,SOXX,SOXX,-0.006985398689704381
